Bin,Metabolism,pcr,cld,pnar,cnar,yedYZ,cbb3,aa3,bd,clr,nap,psr,pHMC,ack-pta,acs,nuo,nqr,TCA cycle,cov_1%NaCl,cov_3%NaCl,cov_5%NaCl,cov_7%NaCl,cov_Inoculum,cov_Max,cov_Sum,irep_1%NaCl,irep_3%NaCl,irep_5%NaCl,irep_7%NaCl,irep_Inoculum
BM001 Alphaproteobacteria,n.d.,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0.6,0.5,0.7,1.1,25,25,27.9,n.d.,n.d.,n.d.,n.d.,1.14363408
BM002 Desulfobacteraceae,n.d.,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0.1,0.2,0.4,0.8,9.4,9.4,10.9,n.d.,n.d.,n.d.,n.d.,1.314611445
BM003 Chromatiales,n.d.,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,2.1,2.5,2,2,6.6,6.6,15.2,n.d.,n.d.,n.d.,n.d.,1.375391136
BM004 Desulfobulbaceae,n.d.,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.9,1.7,1.7,1.9,6.1,6.1,12.3,n.d.,n.d.,n.d.,n.d.,1.392306431
BM005 Desulfobacteraceae,n.d.,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.5,1.2,1.4,0.9,5.1,5.1,9.1,n.d.,n.d.,n.d.,n.d.,n.d.
BM101 Azoarcus,Chlorate reduction,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,513.8,0.1,0.2,0.2,0.2,513.8,514.5,1.294608292,n.d.,n.d.,n.d.,n.d.
BM102 Arcobacter,Perchlorate reduction,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,48.5,0.1,0,0,0,48.5,48.6,1.427261702,n.d.,n.d.,n.d.,n.d.
BM103 Desulfuromonas,Sulfur reduction,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,3.6,2.3,1.8,1,0.1,3.6,8.8,n.d.,n.d.,n.d.,n.d.,n.d.
BM301 Sedimenticola,Perchlorate reduction,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0.2,674.1,0.2,0.3,0.3,674.1,675.1,n.d.,n.d.,n.d.,n.d.,n.d.
BM302 Desulfuromonas,Sulfur reduction,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,5.5,35.5,7.3,3.2,0.1,35.5,51.6,1.608158957,1.26823246,1.518049555,n.d.,n.d.
BM303 Rhizobiales,Perchlorate reduction,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,12.3,11.4,0,0.2,12.3,23.9,n.d.,1.329345661,1.48785241,n.d.,n.d.
BM304 Desulfuromonas,Sulfur reduction,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1.1,9.9,3.8,0.2,0.1,9.9,15.1,n.d.,1.360810999,n.d.,n.d.,n.d.
