MAG ID,MAG,Size (Mbp),Scaffolds (#),Compl. (%),Contam. (%),Strain Var. (%),GC (%),CDS,cov_Sum,cov_Max,cov_1%NaCl,cov_3%NaCl,cov_5%NaCl,cov_7%NaCl,cov_Inoculum,irep_1%NaCl,irep_3%NaCl,irep_5%NaCl,irep_7%NaCl,irep_Inoculum
BM001,BM001 Alphaproteobacteria,1.13,10,97.85,0,0,42.8,1175,27.9,25,0.6,0.5,0.7,1.1,25,,,,,1.14363408
BM002,BM002 Desulfobacteraceae,3.8,638,94.35,3.25,33.33,50,3595,10.9,9.4,0.1,0.2,0.4,0.8,9.4,,,,,1.314611445
BM003,BM003 Chromatiales,3.62,337,93.35,5.53,25.93,60.6,3404,15.2,6.6,2.1,2.5,2,2,6.6,,,,,1.375391136
BM004,BM004 Desulfobulbaceae,2.66,189,98.13,1.64,25,47.5,2487,12.3,6.1,0.9,1.7,1.7,1.9,6.1,,,,,1.392306431
BM005,BM005 Desulfobacteraceae,3.05,577,84.52,1.81,0,43.3,2788,9.1,5.1,0.5,1.2,1.4,0.9,5.1,,,,,
BM101,BM101 Azoarcus,4.9,160,98.86,3.63,20,62.9,4690,514.5,513.8,513.8,0.1,0.2,0.2,0.2,1.294608292,,,,
BM102,BM102 Arcobacter,3.48,42,98.78,1.56,0,28.1,3530,48.6,48.5,48.5,0.1,0,0,0,1.427261702,,,,
BM103,BM103 Desulfuromonas,2.93,426,90.07,6.13,7.69,55.9,2860,8.8,3.6,3.6,2.3,1.8,1,0.1,,,,,
BM301,BM301 Sedimenticola,4.26,31,98.72,1.46,0,56.4,4076,675.1,674.1,0.2,674.1,0.2,0.3,0.3,,,,,
BM302,BM302 Desulfuromonas,2.57,216,94.03,1.51,85.71,55.8,2473,51.6,35.5,5.5,35.5,7.3,3.2,0.1,1.608158957,1.26823246,1.518049555,,
BM303,BM303 Rhizobiales,3.5,428,96.12,2.17,44.44,61.4,3308,23.9,12.3,0,12.3,11.4,0,0.2,,1.329345661,1.48785241,,
